Algorithm,Episode,Average_Reward,Episode_Length
sarsa,1,-500.0,500
sarsa,2,-500.0,500
sarsa,3,-500.0,500
sarsa,4,-500.0,500
sarsa,5,-500.0,500
sarsa,6,-500.0,500
sarsa,7,-500.0,500
sarsa,8,-500.0,500
sarsa,9,-500.0,500
sarsa,10,-500.0,500
sarsa,11,-500.0,500
sarsa,12,-500.0,500
sarsa,13,-500.0,500
sarsa,14,-500.0,500
sarsa,15,-500.0,500
sarsa,16,-500.0,500
sarsa,17,-500.0,500
sarsa,18,-500.0,500
sarsa,19,-494.42105263157896,394
sarsa,20,-490.65,419
sarsa,21,-491.0952380952381,500
sarsa,22,-491.3181818181818,496
sarsa,23,-491.69565217391306,500
sarsa,24,-492.0416666666667,500
sarsa,25,-485.16,320
sarsa,26,-481.84615384615387,399
sarsa,27,-472.5925925925926,232
sarsa,28,-473.57142857142856,500
sarsa,29,-474.48275862068965,500
sarsa,30,-475.3333333333333,500
sarsa,31,-476.1290322580645,500
sarsa,32,-476.875,500
sarsa,33,-477.57575757575756,500
sarsa,34,-478.2352941176471,500
sarsa,35,-478.85714285714283,500
sarsa,36,-478.6111111111111,470
sarsa,37,-479.18918918918916,500
sarsa,38,-479.7368421052632,500
sarsa,39,-480.2564102564103,500
sarsa,40,-480.75,500
sarsa,41,-478.3658536585366,383
sarsa,42,-478.8809523809524,500
sarsa,43,-479.3720930232558,500
sarsa,44,-479.84090909090907,500
sarsa,45,-480.2888888888889,500
sarsa,46,-480.7173913043478,500
sarsa,47,-481.1276595744681,500
sarsa,48,-481.5208333333333,500
sarsa,49,-481.8979591836735,500
sarsa,50,-477.04,239
sarsa,51,-477.4901960784314,500
sarsa,52,-477.9230769230769,500
sarsa,53,-478.33962264150944,500
sarsa,54,-478.74074074074076,500
sarsa,55,-479.1272727272727,500
sarsa,56,-479.5,500
sarsa,57,-479.859649122807,500
sarsa,58,-480.2068965517241,500
sarsa,59,-480.54237288135596,500
sarsa,60,-480.8666666666667,500
sarsa,61,-481.1803278688525,500
sarsa,62,-481.48387096774195,500
sarsa,63,-481.77777777777777,500
sarsa,64,-482.0625,500
sarsa,65,-482.33846153846156,500
sarsa,66,-482.6060606060606,500
sarsa,67,-482.86567164179104,500
sarsa,68,-481.6470588235294,400
sarsa,69,-481.9130434782609,500
sarsa,70,-482.1714285714286,500
sarsa,71,-482.4225352112676,500
sarsa,72,-482.6666666666667,500
sarsa,73,-482.90410958904107,500
sarsa,74,-483.13513513513516,500
sarsa,75,-483.36,500
sarsa,76,-483.57894736842104,500
sarsa,77,-482.61038961038963,409
sarsa,78,-482.8333333333333,500
sarsa,79,-483.0506329113924,500
sarsa,80,-483.2625,500
sarsa,81,-483.4691358024691,500
sarsa,82,-483.6707317073171,500
sarsa,83,-483.86746987951807,500
sarsa,84,-484.0595238095238,500
sarsa,85,-484.2470588235294,500
sarsa,86,-484.43023255813955,500
sarsa,87,-484.60919540229884,500
sarsa,88,-484.78409090909093,500
sarsa,89,-484.9550561797753,500
sarsa,90,-485.1222222222222,500
sarsa,91,-484.34065934065933,414
sarsa,92,-484.5108695652174,500
sarsa,93,-484.6774193548387,500
sarsa,94,-484.8404255319149,500
sarsa,95,-485.0,500
sarsa,96,-485.15625,500
sarsa,97,-485.30927835051546,500
sarsa,98,-485.4591836734694,500
sarsa,99,-483.09090909090907,251
sarsa,100,-481.54,328
sarsa,101,-481.7227722772277,500
sarsa,102,-481.9019607843137,500
sarsa,103,-482.07766990291265,500
sarsa,104,-482.25,500
sarsa,105,-482.4190476190476,500
sarsa,106,-482.58490566037733,500
sarsa,107,-482.74766355140184,500
sarsa,108,-482.9074074074074,500
sarsa,109,-483.0642201834862,500
sarsa,110,-483.2181818181818,500
sarsa,111,-483.3693693693694,500
sarsa,112,-483.51785714285717,500
sarsa,113,-483.6637168141593,500
sarsa,114,-483.8070175438597,500
sarsa,115,-483.9478260869565,500
sarsa,116,-484.08620689655174,500
sarsa,117,-484.22222222222223,500
sarsa,118,-484.35593220338984,500
sarsa,119,-484.4873949579832,500
sarsa,120,-484.6166666666667,500
sarsa,121,-484.74380165289256,500
sarsa,122,-484.8688524590164,500
sarsa,123,-484.9918699186992,500
sarsa,124,-485.11290322580646,500
sarsa,125,-485.232,500
sarsa,126,-483.3968253968254,254
sarsa,127,-482.0314960629921,310
sarsa,128,-481.4765625,411
sarsa,129,-481.62015503875966,500
sarsa,130,-480.8692307692308,384
sarsa,131,-481.01526717557255,500
sarsa,132,-481.15909090909093,500
sarsa,133,-481.30075187969925,500
sarsa,134,-481.44029850746267,500
sarsa,135,-480.9185185185185,411
sarsa,136,-481.05882352941177,500
sarsa,137,-481.1970802919708,500
sarsa,138,-480.68840579710144,411
sarsa,139,-480.8273381294964,500
sarsa,140,-479.15714285714284,247
sarsa,141,-479.3049645390071,500
sarsa,142,-479.4507042253521,500
sarsa,143,-479.5944055944056,500
sarsa,144,-479.7361111111111,500
sarsa,145,-479.55172413793105,453
sarsa,146,-479.6917808219178,500
sarsa,147,-479.8299319727891,500
sarsa,148,-479.9662162162162,500
sarsa,149,-479.751677852349,448
sarsa,150,-478.68666666666667,320
sarsa,151,-478.82781456953643,500
sarsa,152,-478.9671052631579,500
sarsa,153,-477.98039215686276,328
sarsa,154,-478.1233766233766,500
sarsa,155,-478.26451612903224,500
sarsa,156,-478.40384615384613,500
sarsa,157,-478.54140127388536,500
sarsa,158,-478.67721518987344,500
sarsa,159,-478.811320754717,500
sarsa,160,-478.94375,500
sarsa,161,-479.0745341614907,500
sarsa,162,-479.2037037037037,500
sarsa,163,-479.3312883435583,500
sarsa,164,-478.9451219512195,416
sarsa,165,-479.07272727272726,500
sarsa,166,-479.0542168674699,476
sarsa,167,-478.02994011976045,308
sarsa,168,-477.10714285714283,323
sarsa,169,-476.0118343195266,292
sarsa,170,-476.15294117647056,500
sarsa,171,-476.2923976608187,500
sarsa,172,-476.43023255813955,500
sarsa,173,-476.5664739884393,500
sarsa,174,-476.31609195402297,433
sarsa,175,-476.45142857142855,500
sarsa,176,-475.6875,342
sarsa,177,-475.82485875706215,500
sarsa,178,-475.96067415730334,500
sarsa,179,-476.0949720670391,500
sarsa,180,-476.22777777777776,500
sarsa,181,-474.939226519337,243
sarsa,182,-475.0769230769231,500
sarsa,183,-475.21311475409834,500
sarsa,184,-475.3478260869565,500
sarsa,185,-475.4810810810811,500
sarsa,186,-475.61290322580646,500
sarsa,187,-475.7433155080214,500
sarsa,188,-475.8723404255319,500
sarsa,189,-476.0,500
sarsa,190,-476.12631578947367,500
sarsa,191,-476.25130890052355,500
sarsa,192,-476.375,500
sarsa,193,-476.4974093264249,500
sarsa,194,-476.6185567010309,500
sarsa,195,-476.73846153846154,500
sarsa,196,-476.21938775510205,375
sarsa,197,-475.06091370558374,248
sarsa,198,-473.52525252525254,171
sarsa,199,-472.3115577889447,232
sarsa,200,-471.495,309
sarsa,201,-470.3830845771144,248
sarsa,202,-469.7524752475247,343
sarsa,203,-468.9655172413793,310
sarsa,204,-468.25,323
sarsa,205,-468.40487804878046,500
sarsa,206,-468.2621359223301,439
sarsa,207,-467.72463768115944,357
sarsa,208,-466.8317307692308,282
sarsa,209,-466.55023923444975,408
sarsa,210,-465.54761904761904,256
sarsa,211,-465.71090047393363,500
sarsa,212,-465.4669811320755,414
sarsa,213,-464.57276995305165,275
sarsa,214,-464.2570093457944,397
sarsa,215,-464.10697674418606,432
sarsa,216,-463.5509259259259,344
sarsa,217,-463.71889400921657,500
sarsa,218,-463.88532110091745,500
sarsa,219,-464.0502283105023,500
sarsa,220,-464.1318181818182,482
sarsa,221,-463.53846153846155,333
sarsa,222,-462.9054054054054,323
sarsa,223,-462.6322869955157,402
sarsa,224,-462.07589285714283,338
sarsa,225,-462.0622222222222,459
sarsa,226,-462.2300884955752,500
sarsa,227,-461.69603524229075,341
sarsa,228,-461.21491228070175,352
sarsa,229,-460.2489082969432,240
sarsa,230,-460.4217391304348,500
sarsa,231,-459.15584415584414,168
sarsa,232,-457.87068965517244,161
sarsa,233,-458.05150214592277,500
sarsa,234,-458.2307692307692,500
sarsa,235,-457.34893617021277,251
sarsa,236,-457.52966101694915,500
sarsa,237,-456.873417721519,302
sarsa,238,-456.93277310924367,471
sarsa,239,-456.4225941422594,335
sarsa,240,-456.07916666666665,374
sarsa,241,-456.26141078838174,500
sarsa,242,-455.44214876033055,258
sarsa,243,-454.6296296296296,258
sarsa,244,-454.0163934426229,305
